,年[西暦],年[和暦],月,市・区名,人口総数[人],男[人],女[人],世帯数[世帯]
1,2014,平成26,1,新潟市,806126,388242,417884,324589
2,2014,平成26,1,北区,77111,37612,39499,27794
3,2014,平成26,1,東区,139358,67399,71959,58756
4,2014,平成26,1,中央区,176590,83898,92692,83659
5,2014,平成26,1,江南区,69487,33704,35783,25574
6,2014,平成26,1,秋葉区,78384,37521,40863,28396
7,2014,平成26,1,南区,46699,22730,23969,15119
8,2014,平成26,1,西区,157962,76103,81859,65522
9,2014,平成26,1,西蒲区,60535,29275,31260,19769
1,2014,平成26,2,新潟市,805702,388016,417686,324658
2,2014,平成26,2,北区,77042,37570,39472,27786
3,2014,平成26,2,東区,139364,67388,71976,58815
4,2014,平成26,2,中央区,176514,83864,92650,83641
5,2014,平成26,2,江南区,69431,33676,35755,25604
6,2014,平成26,2,秋葉区,78359,37520,40839,28427
7,2014,平成26,2,南区,46670,22709,23961,15136
8,2014,平成26,2,西区,157848,76039,81809,65470
9,2014,平成26,2,西蒲区,60474,29250,31224,19779
1,2014,平成26,3,新潟市,803336,386654,416682,324633
2,2014,平成26,3,北区,76850,37484,39366,27784
3,2014,平成26,3,東区,138888,67083,71805,58795
4,2014,平成26,3,中央区,175909,83480,92429,83653
5,2014,平成26,3,江南区,69313,33610,35703,25649
6,2014,平成26,3,秋葉区,78189,37438,40751,28455
7,2014,平成26,3,南区,46564,22654,23910,15176
8,2014,平成26,3,西区,157333,75727,81606,65323
9,2014,平成26,3,西蒲区,60290,29178,31112,19798
1,2014,平成26,4,新潟市,804879,387564,417315,326328
2,2014,平成26,4,北区,76940,37529,39411,27913
3,2014,平成26,4,東区,139072,67191,71881,58989
4,2014,平成26,4,中央区,176658,83953,92705,84271
5,2014,平成26,4,江南区,69374,33617,35757,25712
6,2014,平成26,4,秋葉区,78191,37452,40739,28507
7,2014,平成26,4,南区,46595,22675,23920,15235
8,2014,平成26,4,西区,157800,76014,81786,65842
9,2014,平成26,4,西蒲区,60249,29133,31116,19859
1,2014,平成26,5,新潟市,804838,387533,417305,326600
2,2014,平成26,5,北区,76908,37509,39399,27948
3,2014,平成26,5,東区,139071,67193,71878,59046
4,2014,平成26,5,中央区,176736,83992,92744,84327
5,2014,平成26,5,江南区,69387,33612,35775,25746
6,2014,平成26,5,秋葉区,78157,37441,40716,28531
7,2014,平成26,5,南区,46584,22671,23913,15276
8,2014,平成26,5,西区,157764,75996,81768,65822
9,2014,平成26,5,西蒲区,60231,29119,31112,19904
1,2014,平成26,6,新潟市,804699,387472,417227,326778
2,2014,平成26,6,北区,76891,37493,39398,27962
3,2014,平成26,6,東区,139032,67161,71871,59053
4,2014,平成26,6,中央区,176715,83997,92718,84317
5,2014,平成26,6,江南区,69376,33600,35776,25769
6,2014,平成26,6,秋葉区,78130,37439,40691,28560
7,2014,平成26,6,南区,46560,22650,23910,15305
8,2014,平成26,6,西区,157793,76020,81773,65884
9,2014,平成26,6,西蒲区,60202,29112,31090,19928
1,2014,平成26,7,新潟市,804607,387401,417206,326995
2,2014,平成26,7,北区,76853,37473,39380,27991
3,2014,平成26,7,東区,139064,67172,71892,59148
4,2014,平成26,7,中央区,176621,83950,92671,84288
