,年[西暦],年[和暦],月,市・区名,人口総数[人],男[人],女[人],世帯数[世帯]
5,2014,平成26,7,江南区,69345,33602,35743,25763
6,2014,平成26,7,秋葉区,78137,37437,40700,28605
7,2014,平成26,7,南区,46572,22639,23933,15327
8,2014,平成26,7,西区,157832,76032,81800,65924
9,2014,平成26,7,西蒲区,60183,29096,31087,19949
1,2014,平成26,8,新潟市,804641,387419,417222,327169
2,2014,平成26,8,北区,76871,37485,39386,28027
3,2014,平成26,8,東区,139106,67183,71923,59163
4,2014,平成26,8,中央区,176654,83973,92681,84338
5,2014,平成26,8,江南区,69357,33606,35751,25784
6,2014,平成26,8,秋葉区,78143,37441,40702,28630
7,2014,平成26,8,南区,46522,22616,23906,15333
8,2014,平成26,8,西区,157844,76027,81817,65915
9,2014,平成26,8,西蒲区,60144,29088,31056,19979
1,2014,平成26,9,新潟市,804561,387356,417205,327319
2,2014,平成26,9,北区,76851,37470,39381,28040
3,2014,平成26,9,東区,139032,67182,71850,59135
4,2014,平成26,9,中央区,176610,83914,92696,84314
5,2014,平成26,9,江南区,69381,33624,35757,25814
6,2014,平成26,9,秋葉区,78161,37461,40700,28657
7,2014,平成26,9,南区,46495,22604,23891,15340
8,2014,平成26,9,西区,157908,76023,81885,66025
9,2014,平成26,9,西蒲区,60123,29078,31045,19994
1,2014,平成26,10,新潟市,804570,387360,417210,327564
2,2014,平成26,10,北区,76816,37450,39366,28075
3,2014,平成26,10,東区,139006,67190,71816,59131
4,2014,平成26,10,中央区,176693,83943,92750,84388
5,2014,平成26,10,江南区,69374,33634,35740,25839
6,2014,平成26,10,秋葉区,78141,37448,40693,28700
7,2014,平成26,10,南区,46519,22619,23900,15368
8,2014,平成26,10,西区,157920,76010,81910,66047
9,2014,平成26,10,西蒲区,60101,29066,31035,20016
1,2014,平成26,11,新潟市,804509,387376,417133,327718
2,2014,平成26,11,北区,76781,37434,39347,28090
3,2014,平成26,11,東区,139025,67197,71828,59146
4,2014,平成26,11,中央区,176717,83957,92760,84411
5,2014,平成26,11,江南区,69327,33618,35709,25852
6,2014,平成26,11,秋葉区,78167,37474,40693,28740
7,2014,平成26,11,南区,46491,22604,23887,15371
8,2014,平成26,11,西区,157956,76052,81904,66087
9,2014,平成26,11,西蒲区,60045,29040,31005,20021
1,2014,平成26,12,新潟市,804315,387291,417024,327780
2,2014,平成26,12,北区,76673,37402,39271,28073
3,2014,平成26,12,東区,139057,67216,71841,59206
4,2014,平成26,12,中央区,176695,83941,92754,84394
5,2014,平成26,12,江南区,69308,33609,35699,25862
6,2014,平成26,12,秋葉区,78125,37463,40662,28751
7,2014,平成26,12,南区,46510,22612,23898,15384
8,2014,平成26,12,西区,157953,76054,81899,66090
9,2014,平成26,12,西蒲区,59994,28994,31000,20020
