,年[西暦],年[和暦],月,市・区名,人口総数[人],男[人],女[人],世帯数[世帯]
1,2018,平成30,1,新潟市,796279,383384,412895,336331
2,2018,平成30,1,北区,75106,36708,38398,28895
3,2018,平成30,1,東区,137703,66495,71208,60571
4,2018,平成30,1,中央区,176603,83970,92633,86622
5,2018,平成30,1,江南区,69072,33551,35521,26844
6,2018,平成30,1,秋葉区,77427,37146,40281,29610
7,2018,平成30,1,南区,45269,22000,23269,15865
8,2018,平成30,1,西区,157150,75476,81674,67600
9,2018,平成30,1,西蒲区,57949,28038,29911,20324
1,2018,平成30,2,新潟市,795755,383175,412580,336174
2,2018,平成30,2,北区,74969,36638,38331,28855
3,2018,平成30,2,東区,137658,66475,71183,60557
4,2018,平成30,2,中央区,176505,83942,92563,86565
5,2018,平成30,2,江南区,69054,33548,35506,26865
6,2018,平成30,2,秋葉区,77431,37137,40294,29644
7,2018,平成30,2,南区,45206,21969,23237,15862
8,2018,平成30,2,西区,157075,75466,81609,67517
9,2018,平成30,2,西蒲区,57857,28000,29857,20309
1,2018,平成30,3,新潟市,794166,382254,411912,336496
2,2018,平成30,3,北区,74782,36539,38243,28876
3,2018,平成30,3,東区,137438,66372,71066,60679
4,2018,平成30,3,中央区,175961,83583,92378,86532
5,2018,平成30,3,江南区,69030,33547,35483,26961
6,2018,平成30,3,秋葉区,77317,37069,40248,29698
7,2018,平成30,3,南区,45158,21951,23207,15905
8,2018,平成30,3,西区,156743,75263,81480,67500
9,2018,平成30,3,西蒲区,57737,27930,29807,20345
1,2018,平成30,4,新潟市,794674,382586,412088,337790
2,2018,平成30,4,北区,74697,36516,38181,28953
3,2018,平成30,4,東区,137494,66368,71126,60787
4,2018,平成30,4,中央区,176362,83812,92550,87017
5,2018,平成30,4,江南区,68962,33518,35444,26984
6,2018,平成30,4,秋葉区,77328,37088,40240,29757
7,2018,平成30,4,南区,45112,21941,23171,15933
8,2018,平成30,4,西区,157083,75470,81613,68019
9,2018,平成30,4,西蒲区,57636,27873,29763,20340
1,2018,平成30,5,新潟市,794459,382483,411976,338072
2,2018,平成30,5,北区,74663,36512,38151,28967
3,2018,平成30,5,東区,137450,66344,71106,60804
4,2018,平成30,5,中央区,176422,83842,92580,87137
5,2018,平成30,5,江南区,68916,33509,35407,26989
6,2018,平成30,5,秋葉区,77308,37080,40228,29779
7,2018,平成30,5,南区,45101,21929,23172,15957
8,2018,平成30,5,西区,157069,75451,81618,68086
9,2018,平成30,5,西蒲区,57530,27816,29714,20353
1,2018,平成30,6,新潟市,794117,382342,411775,338127
2,2018,平成30,6,北区,74601,36468,38133,28971
3,2018,平成30,6,東区,137352,66281,71071,60794
4,2018,平成30,6,中央区,176358,83809,92549,87131
5,2018,平成30,6,江南区,68912,33513,35399,27008
6,2018,平成30,6,秋葉区,77275,37073,40202,29787
7,2018,平成30,6,南区,45076,21915,23161,15962
8,2018,平成30,6,西区,157085,75486,81599,68138
9,2018,平成30,6,西蒲区,57458,27797,29661,20336
1,2018,平成30,7,新潟市,793902,382310,411592,338244
2,2018,平成30,7,北区,74578,36465,38113,28998
3,2018,平成30,7,東区,137294,66247,71047,60815
4,2018,平成30,7,中央区,176400,83846,92554,87166
5,2018,平成30,7,江南区,68895,33517,35378,27022
6,2018,平成30,7,秋葉区,77234,37055,40179,29799
7,2018,平成30,7,南区,45043,21908,23135,15959
8,2018,平成30,7,西区,157033,75485,81548,68136
9,2018,平成30,7,西蒲区,57425,27787,29638,20349
1,2018,平成30,8,新潟市,793750,382281,411469,338364
2,2018,平成30,8,北区,74546,36447,38099,29034
3,2018,平成30,8,東区,137308,66251,71057,60830
4,2018,平成30,8,中央区,176345,83831,92514,87162
5,2018,平成30,8,江南区,68854,33503,35351,27027
6,2018,平成30,8,秋葉区,77258,37059,40199,29843
7,2018,平成30,8,南区,45049,21915,23134,15980
8,2018,平成30,8,西区,157023,75499,81524,68119
9,2018,平成30,8,西蒲区,57367,27776,29591,20369
1,2018,平成30,9,新潟市,793450,382087,411363,338402
2,2018,平成30,9,北区,74551,36453,38098,29060
3,2018,平成30,9,東区,137341,66243,71098,60869
4,2018,平成30,9,中央区,176114,83739,92375,87070
5,2018,平成30,9,江南区,68838,33476,35362,27037
6,2018,平成30,9,秋葉区,77227,37047,40180,29835
7,2018,平成30,9,南区,45012,21892,23120,15979
8,2018,平成30,9,西区,157043,75491,81552,68188
9,2018,平成30,9,西蒲区,57324,27746,29578,20364
1,2018,平成30,10,新潟市,793383,382084,411299,338680
2,2018,平成30,10,北区,74501,36429,38072,29082
3,2018,平成30,10,東区,137401,66253,71148,60913
4,2018,平成30,10,中央区,176120,83771,92349,87137
5,2018,平成30,10,江南区,68863,33481,35382,27056
6,2018,平成30,10,秋葉区,77208,37038,40170,29856
7,2018,平成30,10,南区,44978,21889,23089,15989
8,2018,平成30,10,西区,157067,75515,81552,68262
9,2018,平成30,10,西蒲区,57245,27708,29537,20385
1,2018,平成30,11,新潟市,793141,382032,411109,338748
2,2018,平成30,11,北区,74448,36411,38037,29095
3,2018,平成30,11,東区,137371,66255,71116,60930
4,2018,平成30,11,中央区,176002,83727,92275,87076
5,2018,平成30,11,江南区,68910,33517,35393,27086
6,2018,平成30,11,秋葉区,77147,37014,40133,29856
7,2018,平成30,11,南区,44947,21880,23067,16001
8,2018,平成30,11,西区,157138,75536,81602,68332
9,2018,平成30,11,西蒲区,57178,27692,29486,20372
1,2018,平成30,12,新潟市,792868,381890,410978,338830
2,2018,平成30,12,北区,74427,36387,38040,29114
3,2018,平成30,12,東区,137334,66252,71082,60963
4,2018,平成30,12,中央区,175938,83694,92244,87072
5,2018,平成30,12,江南区,68895,33510,35385,27087
6,2018,平成30,12,秋葉区,77147,37014,40133,29861
7,2018,平成30,12,南区,44905,21864,23041,16019
8,2018,平成30,12,西区,157079,75499,81580,68342
9,2018,平成30,12,西蒲区,57143,27670,29473,20372
