,年[西暦],年[和暦],月,市・区名,人口総数[人],男[人],女[人],世帯数[世帯]
1,2017,平成29,1,新潟市,799569,385071,414498,333792
2,2017,平成29,1,北区,75695,36997,38698,28605
3,2017,平成29,1,東区,138216,66713,71503,60168
4,2017,平成29,1,中央区,176590,84025,92565,85948
5,2017,平成29,1,江南区,69266,33632,35634,26576
6,2017,平成29,1,秋葉区,77747,37275,40472,29338
7,2017,平成29,1,南区,45765,22256,23509,15728
8,2017,平成29,1,西区,157599,75810,81789,67195
9,2017,平成29,1,西蒲区,58691,28363,30328,20234
1,2017,平成29,2,新潟市,798981,384797,414184,333696
2,2017,平成29,2,北区,75635,36960,38675,28612
3,2017,平成29,2,東区,138178,66679,71499,60173
4,2017,平成29,2,中央区,176481,83992,92489,85914
5,2017,平成29,2,江南区,69225,33603,35622,26591
6,2017,平成29,2,秋葉区,77695,37255,40440,29339
7,2017,平成29,2,南区,45734,22239,23495,15752
8,2017,平成29,2,西区,157413,75731,81682,67078
9,2017,平成29,2,西蒲区,58620,28338,30282,20237
1,2017,平成29,3,新潟市,796269,383251,413018,333528
2,2017,平成29,3,北区,75346,36822,38524,28619
3,2017,平成29,3,東区,137737,66427,71310,60211
4,2017,平成29,3,中央区,175614,83451,92163,85704
5,2017,平成29,3,江南区,69185,33582,35603,26673
6,2017,平成29,3,秋葉区,77509,37177,40332,29377
7,2017,平成29,3,南区,45618,22174,23444,15761
8,2017,平成29,3,西区,156843,75391,81452,66931
9,2017,平成29,3,西蒲区,58417,28227,30190,20252
1,2017,平成29,4,新潟市,797965,384174,413791,335266
2,2017,平成29,4,北区,75375,36829,38546,28729
3,2017,平成29,4,東区,137942,66517,71425,60386
4,2017,平成29,4,中央区,176516,83938,92578,86416
5,2017,平成29,4,江南区,69204,33592,35612,26735
6,2017,平成29,4,秋葉区,77545,37189,40356,29452
7,2017,平成29,4,南区,45577,22154,23423,15772
8,2017,平成29,4,西区,157408,75709,81699,67493
