,年[西暦],年[和暦],月,市・区名,人口総数[人],男[人],女[人],世帯数[世帯]
9,2017,平成29,4,西蒲区,58398,28246,30152,20283
1,2017,平成29,5,新潟市,798065,384296,413769,335641
2,2017,平成29,5,北区,75380,36848,38532,28772
3,2017,平成29,5,東区,137904,66501,71403,60414
4,2017,平成29,5,中央区,176705,84065,92640,86584
5,2017,平成29,5,江南区,69184,33575,35609,26757
6,2017,平成29,5,秋葉区,77574,37218,40356,29485
7,2017,平成29,5,南区,45557,22157,23400,15792
8,2017,平成29,5,西区,157417,75698,81719,67546
9,2017,平成29,5,西蒲区,58344,28234,30110,20291
1,2017,平成29,6,新潟市,797677,384081,413596,335684
2,2017,平成29,6,北区,75273,36787,38486,28755
3,2017,平成29,6,東区,137906,66510,71396,60438
4,2017,平成29,6,中央区,176603,84001,92602,86568
5,2017,平成29,6,江南区,69184,33580,35604,26780
6,2017,平成29,6,秋葉区,77532,37192,40340,29501
7,2017,平成29,6,南区,45536,22147,23389,15800
8,2017,平成29,6,西区,157423,75696,81727,67564
9,2017,平成29,6,西蒲区,58220,28168,30052,20278
1,2017,平成29,7,新潟市,797462,383992,413470,335794
2,2017,平成29,7,北区,75252,36771,38481,28789
3,2017,平成29,7,東区,137811,66484,71327,60467
4,2017,平成29,7,中央区,176650,84038,92612,86571
5,2017,平成29,7,江南区,69210,33595,35615,26803
6,2017,平成29,7,秋葉区,77515,37171,40344,29514
7,2017,平成29,7,南区,45513,22139,23374,15814
8,2017,平成29,7,西区,157324,75643,81681,67548
9,2017,平成29,7,西蒲区,58187,28151,30036,20288
1,2017,平成29,8,新潟市,797176,383886,413290,335764
2,2017,平成29,8,北区,75209,36772,38437,28798
3,2017,平成29,8,東区,137775,66471,71304,60476
4,2017,平成29,8,中央区,176605,83995,92610,86531
5,2017,平成29,8,江南区,69169,33586,35583,26790
6,2017,平成29,8,秋葉区,77523,37171,40352,29539
7,2017,平成29,8,南区,45469,22114,23355,15821
8,2017,平成29,8,西区,157283,75639,81644,67516
9,2017,平成29,8,西蒲区,58143,28138,30005,20293
1,2017,平成29,9,新潟市,797020,383733,413287,335948
2,2017,平成29,9,北区,75192,36750,38442,28841
3,2017,平成29,9,東区,137780,66482,71298,60505
4,2017,平成29,9,中央区,176430,83882,92548,86465
5,2017,平成29,9,江南区,69182,33601,35581,26820
6,2017,平成29,9,秋葉区,77522,37181,40341,29554
7,2017,平成29,9,南区,45436,22106,23330,15827
8,2017,平成29,9,西区,157334,75604,81730,67606
9,2017,平成29,9,西蒲区,58144,28127,30017,20330
1,2017,平成29,10,新潟市,797110,383854,413256,336252
2,2017,平成29,10,北区,75177,36758,38419,28849
3,2017,平成29,10,東区,137837,66533,71304,60562
4,2017,平成29,10,中央区,176600,83980,92620,86580
5,2017,平成29,10,江南区,69125,33586,35539,26822
6,2017,平成29,10,秋葉区,77540,37191,40349,29596
7,2017,平成29,10,南区,45398,22085,23313,15832
8,2017,平成29,10,西区,157350,75616,81734,67683
9,2017,平成29,10,西蒲区,58083,28105,29978,20328
1,2017,平成29,11,新潟市,796998,383779,413219,336402
2,2017,平成29,11,北区,75194,36775,38419,28888
3,2017,平成29,11,東区,137802,66518,71284,60571
4,2017,平成29,11,中央区,176652,83997,92655,86612
5,2017,平成29,11,江南区,69076,33570,35506,26833
6,2017,平成29,11,秋葉区,77539,37183,40356,29618
7,2017,平成29,11,南区,45405,22080,23325,15872
8,2017,平成29,11,西区,157296,75569,81727,67673
9,2017,平成29,11,西蒲区,58034,28087,29947,20335
1,2017,平成29,12,新潟市,796670,383608,413062,336384
2,2017,平成29,12,北区,75161,36752,38409,28891
3,2017,平成29,12,東区,137791,66513,71278,60593
4,2017,平成29,12,中央区,176591,83974,92617,86605
5,2017,平成29,12,江南区,69063,33548,35515,26835
6,2017,平成29,12,秋葉区,77504,37181,40323,29618
7,2017,平成29,12,南区,45337,22041,23296,15862
8,2017,平成29,12,西区,157230,75531,81699,67643
9,2017,平成29,12,西蒲区,57993,28068,29925,20337
