,年[西暦],年[和暦],月,市・区名,人口総数[人],男[人],女[人],世帯数[世帯]
5,2020,令和2,8,秋葉区,76611,36837,39774,30384
6,2020,令和2,8,南区,44281,21513,22768,16315
7,2020,令和2,8,西区,156368,75186,81182,69369
8,2020,令和2,8,西蒲区,55961,27135,28826,20659
0,2020,令和2,9,新潟市,785755,378449,407306,343498
1,2020,令和2,9,北区,73435,35935,37500,29541
2,2020,令和2,9,東区,136042,65638,70404,61803
3,2020,令和2,9,中央区,174743,82967,91776,87819
4,2020,令和2,9,江南区,68443,33305,35138,27532
5,2020,令和2,9,秋葉区,76576,36817,39759,30412
6,2020,令和2,9,南区,44250,21503,22747,16320
7,2020,令和2,9,西区,156352,75181,81171,69401
8,2020,令和2,9,西蒲区,55914,27103,28811,20670
0,2020,令和2,10,新潟市,785388,378257,407131,343518
1,2020,令和2,10,北区,73332,35880,37452,29516
2,2020,令和2,10,東区,135960,65604,70356,61802
3,2020,令和2,10,中央区,174648,82915,91733,87786
4,2020,令和2,10,江南区,68415,33278,35137,27539
5,2020,令和2,10,秋葉区,76609,36827,39782,30446
6,2020,令和2,10,南区,44237,21502,22735,16324
7,2020,令和2,10,西区,156339,75188,81151,69421
8,2020,令和2,10,西蒲区,55848,27063,28785,20684
0,2020,令和2,11,新潟市,785126,378145,406981,343581
1,2020,令和2,11,北区,73286,35850,37436,29532
2,2020,令和2,11,東区,135946,65587,70359,61817
3,2020,令和2,11,中央区,174585,82890,91695,87780
4,2020,令和2,11,江南区,68460,33311,35149,27555
5,2020,令和2,11,秋葉区,76580,36829,39751,30475
6,2020,令和2,11,南区,44201,21482,22719,16327
7,2020,令和2,11,西区,156262,75146,81116,69412
8,2020,令和2,11,西蒲区,55806,27050,28756,20683
0,2020,令和2,12,新潟市,784774,378018,406756,343589
1,2020,令和2,12,北区,73238,35832,37406,29537
2,2020,令和2,12,東区,135805,65528,70277,61787
3,2020,令和2,12,中央区,174507,82844,91663,87716
4,2020,令和2,12,江南区,68537,33363,35174,27601
5,2020,令和2,12,秋葉区,76568,36836,39732,30506
6,2020,令和2,12,南区,44134,21451,22683,16344
7,2020,令和2,12,西区,156213,75126,81087,69416
8,2020,令和2,12,西蒲区,55772,27038,28734,20682
