,年[西暦],年[和暦],月,市・区名,人口総数[人],男[人],女[人],世帯数[世帯]
0,2020,令和2,1,新潟市,788053,379583,408470,340856
1,2020,令和2,1,北区,73834,36082,37752,29329
2,2020,令和2,1,東区,136387,65791,70596,61317
3,2020,令和2,1,中央区,174905,83146,91759,87164
4,2020,令和2,1,江南区,68594,33394,35200,27281
5,2020,令和2,1,秋葉区,76854,36916,39938,30182
6,2020,令和2,1,南区,44488,21638,22850,16167
7,2020,令和2,1,西区,156553,75277,81276,68854
8,2020,令和2,1,西蒲区,56438,27339,29099,20562
0,2020,令和2,2,新潟市,787517,379350,408167,340707
1,2020,令和2,2,北区,73747,36062,37685,29280
2,2020,令和2,2,東区,136314,65760,70554,61312
3,2020,令和2,2,中央区,174768,83076,91692,87135
4,2020,令和2,2,江南区,68555,33362,35193,27278
5,2020,令和2,2,秋葉区,76842,36904,39938,30186
6,2020,令和2,2,南区,44444,21610,22834,16174
7,2020,令和2,2,西区,156431,75244,81187,68765
8,2020,令和2,2,西蒲区,56416,27332,29084,20577
0,2020,令和2,3,新潟市,786006,378500,407506,341240
1,2020,令和2,3,北区,73598,36002,37596,29327
2,2020,令和2,3,東区,136113,65668,70445,61485
3,2020,令和2,3,中央区,174346,82807,91539,87243
4,2020,令和2,3,江南区,68451,33333,35118,27353
5,2020,令和2,3,秋葉区,76751,36878,39873,30248
6,2020,令和2,3,南区,44402,21577,22825,16229
7,2020,令和2,3,西区,156098,74994,81104,68751
8,2020,令和2,3,西蒲区,56247,27241,29006,20604
0,2020,令和2,4,新潟市,786625,378870,407755,342717
1,2020,令和2,4,北区,73629,36009,37620,29449
2,2020,令和2,4,東区,136111,65681,70430,61648
3,2020,令和2,4,中央区,174735,82981,91754,87758
4,2020,令和2,4,江南区,68386,33294,35092,27383
5,2020,令和2,4,秋葉区,76726,36882,39844,30305
6,2020,令和2,4,南区,44351,21543,22808,16247
7,2020,令和2,4,西区,156513,75266,81247,69305
8,2020,令和2,4,西蒲区,56174,27214,28960,20622
0,2020,令和2,5,新潟市,786454,378784,407670,342801
1,2020,令和2,5,北区,73585,36008,37577,29440
2,2020,令和2,5,東区,136013,65620,70393,61634
3,2020,令和2,5,中央区,174838,83040,91798,87827
4,2020,令和2,5,江南区,68406,33292,35114,27408
5,2020,令和2,5,秋葉区,76681,36852,39829,30327
6,2020,令和2,5,南区,44350,21540,22810,16255
7,2020,令和2,5,西区,156463,75244,81219,69284
8,2020,令和2,5,西蒲区,56118,27188,28930,20626
0,2020,令和2,6,新潟市,786357,378755,407602,343115
1,2020,令和2,6,北区,73588,36028,37560,29502
2,2020,令和2,6,東区,136015,65642,70373,61705
3,2020,令和2,6,中央区,174885,83046,91839,87890
4,2020,令和2,6,江南区,68393,33278,35115,27445
5,2020,令和2,6,秋葉区,76664,36859,39805,30349
6,2020,令和2,6,南区,44336,21529,22807,16262
7,2020,令和2,6,西区,156428,75202,81226,69317
8,2020,令和2,6,西蒲区,56048,27171,28877,20645
0,2020,令和2,7,新潟市,786251,378758,407493,343370
1,2020,令和2,7,北区,73579,36026,37553,29526
2,2020,令和2,7,東区,136013,65645,70368,61735
3,2020,令和2,7,中央区,174861,83053,91808,87896
4,2020,令和2,7,江南区,68427,33300,35127,27501
5,2020,令和2,7,秋葉区,76623,36848,39775,30360
6,2020,令和2,7,南区,44312,21519,22793,16292
7,2020,令和2,7,西区,156452,75221,81231,69401
8,2020,令和2,7,西蒲区,55984,27146,28838,20659
0,2020,令和2,8,新潟市,785981,378590,407391,343420
1,2020,令和2,8,北区,73493,35984,37509,29547
2,2020,令和2,8,東区,135992,65621,70371,61746
3,2020,令和2,8,中央区,174838,83013,91825,87864
4,2020,令和2,8,江南区,68437,33301,35136,27536
