,年[西暦],年[和暦],月,市・区名,人口総数[人],男[人],女[人],世帯数[世帯]
9,2015,平成27,4,西蒲区,59750,28861,30889,20064
1,2015,平成27,5,新潟市,803177,386588,416589,329830
2,2015,平成27,5,北区,76367,37259,39108,28231
3,2015,平成27,5,東区,138631,66911,71720,59434
4,2015,平成27,5,中央区,176912,84060,92852,85075
5,2015,平成27,5,江南区,69403,33647,35756,26180
6,2015,平成27,5,秋葉区,78073,37451,40622,28945
7,2015,平成27,5,南区,46275,22488,23787,15449
8,2015,平成27,5,西区,157819,75938,81881,66434
9,2015,平成27,5,西蒲区,59697,28834,30863,20082
1,2015,平成27,6,新潟市,803151,386571,416580,329997
2,2015,平成27,6,北区,76380,37267,39113,28255
3,2015,平成27,6,東区,138621,66894,71727,59447
4,2015,平成27,6,中央区,176854,84033,92821,85067
5,2015,平成27,6,江南区,69375,33654,35721,26176
6,2015,平成27,6,秋葉区,78037,37432,40605,28951
7,2015,平成27,6,南区,46262,22477,23785,15473
8,2015,平成27,6,西区,157936,75989,81947,66527
9,2015,平成27,6,西蒲区,59686,28825,30861,20101
1,2015,平成27,7,新潟市,803143,386648,416495,330185
2,2015,平成27,7,北区,76373,37260,39113,28277
3,2015,平成27,7,東区,138657,66914,71743,59484
4,2015,平成27,7,中央区,176886,84080,92806,85103
5,2015,平成27,7,江南区,69397,33676,35721,26190
6,2015,平成27,7,秋葉区,77992,37414,40578,28962
7,2015,平成27,7,南区,46242,22477,23765,15490
8,2015,平成27,7,西区,157954,76013,81941,66566
9,2015,平成27,7,西蒲区,59642,28814,30828,20113
1,2015,平成27,8,新潟市,803098,386669,416429,330351
2,2015,平成27,8,北区,76355,37241,39114,28315
3,2015,平成27,8,東区,138676,66922,71754,59545
4,2015,平成27,8,中央区,176917,84149,92768,85149
5,2015,平成27,8,江南区,69363,33661,35702,26207
6,2015,平成27,8,秋葉区,78008,37413,40595,28978
7,2015,平成27,8,南区,46259,22477,23782,15511
8,2015,平成27,8,西区,157888,75999,81889,66529
9,2015,平成27,8,西蒲区,59632,28807,30825,20117
1,2015,平成27,9,新潟市,803025,386597,416428,330617
2,2015,平成27,9,北区,76315,37208,39107,28320
3,2015,平成27,9,東区,138661,66924,71737,59592
4,2015,平成27,9,中央区,176881,84131,92750,85153
5,2015,平成27,9,江南区,69347,33658,35689,26224
6,2015,平成27,9,秋葉区,78015,37422,40593,29006
7,2015,平成27,9,南区,46212,22451,23761,15514
8,2015,平成27,9,西区,157972,76000,81972,66673
9,2015,平成27,9,西蒲区,59622,28803,30819,20135
1,2015,平成27,10,新潟市,803006,386613,416393,330910
2,2015,平成27,10,北区,76334,37222,39112,28341
3,2015,平成27,10,東区,138651,66941,71710,59617
4,2015,平成27,10,中央区,176962,84174,92788,85284
5,2015,平成27,10,江南区,69288,33636,35652,26224
6,2015,平成27,10,秋葉区,78003,37404,40599,29033
7,2015,平成27,10,南区,46159,22442,23717,15523
8,2015,平成27,10,西区,158042,76028,82014,66760
9,2015,平成27,10,西蒲区,59567,28766,30801,20128
1,2015,平成27,11,新潟市,802919,386579,416340,331028
2,2015,平成27,11,北区,76296,37210,39086,28341
3,2015,平成27,11,東区,138647,66917,71730,59643
4,2015,平成27,11,中央区,176947,84185,92762,85284
5,2015,平成27,11,江南区,69335,33653,35682,26273
6,2015,平成27,11,秋葉区,77976,37380,40596,29035
7,2015,平成27,11,南区,46139,22448,23691,15544
8,2015,平成27,11,西区,158059,76045,82014,66780
9,2015,平成27,11,西蒲区,59520,28741,30779,20128
1,2015,平成27,12,新潟市,802813,386537,416276,331145
2,2015,平成27,12,北区,76274,37201,39073,28372
3,2015,平成27,12,東区,138621,66903,71718,59658
4,2015,平成27,12,中央区,176952,84201,92751,85291
5,2015,平成27,12,江南区,69328,33641,35687,26282
6,2015,平成27,12,秋葉区,77967,37373,40594,29052
7,2015,平成27,12,南区,46137,22444,23693,15553
8,2015,平成27,12,西区,158056,76052,82004,66805
9,2015,平成27,12,西蒲区,59478,28722,30756,20132
