,年[西暦],年[和暦],月,市・区名,人口総数[人],男[人],女[人],世帯数[世帯]
1,2015,平成27,1,新潟市,804033,387092,416941,327715
2,2015,平成27,1,北区,76593,37354,39239,28029
3,2015,平成27,1,東区,139009,67163,71846,59208
4,2015,平成27,1,中央区,176643,83900,92743,84357
5,2015,平成27,1,江南区,69276,33595,35681,25858
6,2015,平成27,1,秋葉区,78082,37435,40647,28756
7,2015,平成27,1,南区,46486,22597,23889,15391
8,2015,平成27,1,西区,157990,76071,81919,66115
9,2015,平成27,1,西蒲区,59954,28977,30977,20001
1,2015,平成27,2,新潟市,803524,386870,416654,327644
2,2015,平成27,2,北区,76495,37301,39194,28025
3,2015,平成27,2,東区,138897,67110,71787,59209
4,2015,平成27,2,中央区,176486,83844,92642,84304
5,2015,平成27,2,江南区,69363,33631,35732,25913
6,2015,平成27,2,秋葉区,78036,37421,40615,28778
7,2015,平成27,2,南区,46479,22590,23889,15412
8,2015,平成27,2,西区,157863,76008,81855,66005
9,2015,平成27,2,西蒲区,59905,28965,30940,19998
1,2015,平成27,3,新潟市,801270,385433,415837,327723
2,2015,平成27,3,北区,76290,37212,39078,28069
3,2015,平成27,3,東区,138435,66820,71615,59223
4,2015,平成27,3,中央区,175923,83444,92479,84331
5,2015,平成27,3,江南区,69306,33585,35721,26004
6,2015,平成27,3,秋葉区,77976,37403,40573,28854
7,2015,平成27,3,南区,46370,22530,23840,15441
8,2015,平成27,3,西区,157168,75545,81623,65772
9,2015,平成27,3,西蒲区,59802,28894,30908,20029
1,2015,平成27,4,新潟市,803039,386486,416553,329575
2,2015,平成27,4,北区,76379,37264,39115,28200
3,2015,平成27,4,東区,138594,66910,71684,59394
4,2015,平成27,4,中央区,176745,83937,92808,84991
5,2015,平成27,4,江南区,69410,33643,35767,26162
6,2015,平成27,4,秋葉区,78041,37425,40616,28928
7,2015,平成27,4,南区,46338,22523,23815,15450
8,2015,平成27,4,西区,157782,75923,81859,66386
